127.0.0.1 - - [06/Aug/2014:17:18:08 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [06/Aug/2014:17:18:14 +0530] "GET /Devil666/registration HTTP/1.1" 200 5706
0:0:0:0:0:0:0:1 - - [06/Aug/2014:17:18:22 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [06/Aug/2014:17:18:29 +0530] "GET /Devil666/home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Aug/2014:17:18:30 +0530] "GET /Devil666/signup HTTP/1.1" 200 1676
0:0:0:0:0:0:0:1 - - [06/Aug/2014:17:19:00 +0530] "POST /Devil666/registration HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Aug/2014:17:19:00 +0530] "GET /Devil666/signup HTTP/1.1" 200 1676
0:0:0:0:0:0:0:1 - - [06/Aug/2014:17:19:14 +0530] "POST /Devil666/signup HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Aug/2014:17:19:14 +0530] "GET /Devil666/home HTTP/1.1" 200 43080
0:0:0:0:0:0:0:1 - - [06/Aug/2014:17:19:33 +0530] "POST /Devil666/postback HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [06/Aug/2014:17:19:37 +0530] "POST /Devil666/postback HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [06/Aug/2014:17:19:51 +0530] "GET /Devil666/taketo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Aug/2014:17:19:51 +0530] "GET /Devil666/signup HTTP/1.1" 200 1676
0:0:0:0:0:0:0:1 - - [06/Aug/2014:17:20:02 +0530] "GET /Devil666/home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Aug/2014:17:20:02 +0530] "GET /Devil666/signup HTTP/1.1" 200 1676
0:0:0:0:0:0:0:1 - - [06/Aug/2014:17:20:20 +0530] "POST /Devil666/signup HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Aug/2014:17:20:20 +0530] "GET /Devil666/home HTTP/1.1" 200 44804
