127.0.0.1 - - [02/Aug/2014:17:24:24 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [02/Aug/2014:17:24:29 +0530] "GET /Devil666/home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2014:17:24:30 +0530] "GET /Devil666/signup HTTP/1.1" 200 1676
0:0:0:0:0:0:0:1 - - [02/Aug/2014:17:24:56 +0530] "GET /Devil666/registration HTTP/1.1" 200 5706
0:0:0:0:0:0:0:1 - - [02/Aug/2014:17:25:20 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [02/Aug/2014:17:25:56 +0530] "POST /Devil666/registration HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2014:17:25:56 +0530] "GET /Devil666/signup HTTP/1.1" 200 1676
0:0:0:0:0:0:0:1 - - [02/Aug/2014:17:26:06 +0530] "POST /Devil666/signup HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2014:17:26:06 +0530] "GET /Devil666/home HTTP/1.1" 200 40482
0:0:0:0:0:0:0:1 - - [02/Aug/2014:17:26:43 +0530] "POST /Devil666/signup HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2014:17:26:44 +0530] "GET /Devil666/home HTTP/1.1" 200 40482
0:0:0:0:0:0:0:1 - - [02/Aug/2014:17:27:11 +0530] "POST /Devil666/postback HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Aug/2014:17:27:21 +0530] "POST /Devil666/postback HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Aug/2014:17:27:27 +0530] "GET /Devil666/taketo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2014:17:27:27 +0530] "GET /Devil666/signup HTTP/1.1" 200 1676
0:0:0:0:0:0:0:1 - - [02/Aug/2014:17:27:34 +0530] "POST /Devil666/signup HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2014:17:27:35 +0530] "GET /Devil666/home HTTP/1.1" 200 42218
0:0:0:0:0:0:0:1 - - [02/Aug/2014:17:28:01 +0530] "POST /Devil666/postback HTTP/1.1" 200 -
