what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1406980435083
os,sysinfo,,,"win32",1406980435083
arch,sysinfo,,,"x86_64",1406980435083
ws,sysinfo,,,"win32",1406980435083
locale,sysinfo,,,"en_IN",1406980435083
processors,sysinfo,,,"2",1406980435083
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1406980435083
java.runtime.version,sysinfo,,,"1.7.0_65-b19",1406980435083
java.specification.name,sysinfo,,,"Java Platform API Specification",1406980435083
java.specification.vendor,sysinfo,,,"Oracle Corporation",1406980435083
java.specification.version,sysinfo,,,"1.7",1406980435083
java.vendor,sysinfo,,,"Oracle Corporation",1406980435083
java.version,sysinfo,,,"1.7.0_65",1406980435083
java.vm.info,sysinfo,,,"mixed mode",1406980435083
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1406980435083
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1406980435083
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1406980435083
java.vm.specification.version,sysinfo,,,"1.7",1406980435083
java.vm.vendor,sysinfo,,,"Oracle Corporation",1406980435083
java.vm.version,sysinfo,,,"24.65-b04",1406980435083
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1406980436141
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406980439353
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406980442882
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1406980450831
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1406980451503
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1406980451693
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.505.v201202020200,"org.eclipse.jst.j2ee.ejb",1406980452099
started,bundle,org.eclipse.jst.j2ee.jca,1.1.501.v201111030500,"org.eclipse.jst.j2ee.jca",1406980452119
started,bundle,org.eclipse.jst.jee,1.0.402.v201202021530,"org.eclipse.jst.jee",1406980452149
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1406980452169
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1406980452259
started,bundle,org.eclipse.jst.server.core,1.2.202.v20110419,"org.eclipse.jst.server.core",1406980452823
started,bundle,org.eclipse.jst.server.tomcat.core,1.1.301.v20111010_1242,"org.eclipse.jst.server.tomcat.core",1406980452953
started,bundle,org.eclipse.jst.server.generic.core,1.0.700.v20101219,"org.eclipse.jst.server.generic.core",1406980453807
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1406980454037
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1406980455837
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1406980456157
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1406980465099
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1406980466021
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1406980466211
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1406980475445
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406980477525
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406980594639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406980706728
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406981822237
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406981831865
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406981850710
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406981859520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406986259991
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406986265800
activated,perspective,,,"<Go>",1407325615627
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1407325615630
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1407325615631
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1407325615632
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1407325615633
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1407325615634
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1407325615635
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1407325615638
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1407325615639
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1407325615640
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1407325615642
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1407325615668
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1407325615669
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1407325615712
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1407325615714
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1407325615715
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1407325615777
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20120130-0943,"org.eclipse.emf.common.ui",1407325615779
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1407325615887
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1407325615888
started,bundle,org.eclipse.emf.edit,2.7.2.v20120130-0943,"org.eclipse.emf.edit",1407325615889
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20120130-0943,"org.eclipse.emf.edit.ui",1407325615890
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1407325615891
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1407325615891
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1407325615892
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1407325615892
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1407325615893
