what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1406404287916
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1406404287993
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1406404288242
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1406404300994
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1406404301302
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1406404301392
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406404310123
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406404392541
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1406404392554
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406404394776
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406404416129
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406404432931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406404439166
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1406404447284
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1406404447520
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1406404447578
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1406404449167
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1406404450671
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1406404451788
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1406404451936
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1406404452559
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.J2EEPerspective",1406404464382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406404472588
activated,perspective,goclipse,0.7.6.v450,"com.googlecode.goclipse.perspectives.GoPerspective",1406404485743
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406404486419
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1406404489234
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1406404489436
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1406404490237
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1406404495941
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1406404496081
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1406404496644
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1406404496646
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1406404501777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406404501940
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406404516912
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406404524544
started,bundle,com.googlecode.goclipse.gocode,0.7.6.v450,"com.googlecode.goclipse.gocode",1406404543341
opened,editor,goclipse,0.7.6.v450,"com.googlecode.goclipse.editors.Editor",1406404544807
activated,editor,goclipse,0.7.6.v450,"com.googlecode.goclipse.editors.Editor",1406404544924
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406404545425
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1406404553263
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1406404568317
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1406404574602
started,bundle,com.googlecode.goclipse.debug,0.7.6.v450,"com.googlecode.goclipse.debug",1406404576714
error,log,,,"Executable source files must be in the 'cmd' folder",1406404582806
executed,command,,,"com.googlecode.goclipse.debug.launch.ui.GoLaunchShortcut.run",1406404582806
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1406404587497
