what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1406272753931
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406272756985
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406272790501
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1406272792831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406272825117
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406272826276
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406272827696
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406272831626
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406272834369
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406272840865
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406272843317
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406272850487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406272857500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406272860073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406272861417
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406272862965
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406272867309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406272869229
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1406272872197
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1406272874187
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1406272879816
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1406272881988
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1406272883170
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1406272884424
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1406272899841
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1406272909238
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1406272922333
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1406272940690
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1406272961058
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1406272961306
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1406272961485
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1406272961666
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1406272961847
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1406272962062
