what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1406528391154
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1406528391219
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1406528391372
started,bundle,com.googlecode.goclipse.debug,0.7.6.v450,"com.googlecode.goclipse.debug",1406528399437
error,log,,,"Exception occurred executing command line.",1406528399905
executed,command,,,"com.googlecode.goclipse.debug.launch.ui.GoLaunchShortcut.run",1406528399908
activated,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1406528404866
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1406528415663
activated,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1406528435650
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1406528442377
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406528461151
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406528516813
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406528532501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406528550186
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1406528550209
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406528552235
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406528573588
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406528575589
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1406528582477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406528686498
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1406528686520
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406528694257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406528823203
