what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1406467311362
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1406467311376
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1406467311392
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1406467311393
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1406467311394
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1406467311395
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1406467311396
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1406467311397
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1406467311575
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1406467311613
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1406467311677
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1406467311682
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1406467311684
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1406467311719
started,bundle,goclipse,0.7.6.v450,"goclipse",1406467311720
os,sysinfo,,,"win32",1406467311779
arch,sysinfo,,,"x86_64",1406467311779
ws,sysinfo,,,"win32",1406467311779
locale,sysinfo,,,"en_IN",1406467311779
processors,sysinfo,,,"2",1406467311779
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1406467311779
java.runtime.version,sysinfo,,,"1.7.0_65-b19",1406467311779
java.specification.name,sysinfo,,,"Java Platform API Specification",1406467311779
java.specification.vendor,sysinfo,,,"Oracle Corporation",1406467311779
java.specification.version,sysinfo,,,"1.7",1406467311779
java.vendor,sysinfo,,,"Oracle Corporation",1406467311779
java.version,sysinfo,,,"1.7.0_65",1406467311779
java.vm.info,sysinfo,,,"mixed mode",1406467311779
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1406467311779
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1406467311779
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1406467311779
java.vm.specification.version,sysinfo,,,"1.7",1406467311779
java.vm.vendor,sysinfo,,,"Oracle Corporation",1406467311779
java.vm.version,sysinfo,,,"24.65-b04",1406467311779
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1406467313375
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1406467313528
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1406467314806
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1406467314955
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1406467314960
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1406467315390
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1406467315636
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1406467315694
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1406467315899
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1406467316653
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1406467316674
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1406467316907
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406467364404
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406468033278
