what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1408105655058
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1408105655063
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1408105655063
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1408105655063
os,sysinfo,,,"win32",1408105655068
arch,sysinfo,,,"x86_64",1408105655068
ws,sysinfo,,,"win32",1408105655068
locale,sysinfo,,,"en_IN",1408105655068
processors,sysinfo,,,"2",1408105655068
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1408105655068
java.runtime.version,sysinfo,,,"1.7.0_65-b19",1408105655068
java.specification.name,sysinfo,,,"Java Platform API Specification",1408105655068
java.specification.vendor,sysinfo,,,"Oracle Corporation",1408105655068
java.specification.version,sysinfo,,,"1.7",1408105655068
java.vendor,sysinfo,,,"Oracle Corporation",1408105655068
java.version,sysinfo,,,"1.7.0_65",1408105655068
java.vm.info,sysinfo,,,"mixed mode",1408105655068
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1408105655068
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1408105655068
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1408105655068
java.vm.specification.version,sysinfo,,,"1.7",1408105655068
java.vm.vendor,sysinfo,,,"Oracle Corporation",1408105655068
java.vm.version,sysinfo,,,"24.65-b04",1408105655068
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1408105664737
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408105718549
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408105723786
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408105728928
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408105782208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408105813406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408105817161
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408105961997
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408106211147
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408106217239
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408106518739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408106519139
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1408106534449
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1408106534549
