what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406269605861
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1406269608290
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1406269635602
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1406269642223
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406269664795
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406269677493
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1406269682252
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406269703704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406269792347
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1406269824009
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1406269826631
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1406269843533
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1406269875951
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1406269876587
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1406269885649
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1406269893045
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1406269896680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406269899904
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406269905595
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406269911435
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1406269915782
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1406269918821
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1406269947100
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1406269949307
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1406269956236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406269957890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406270008238
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1406270014597
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406270031567
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406270120822
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1406270125887
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406270156220
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406270182424
