what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406447587263
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1406447589872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406447599071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406447602385
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406447606625
opened,editor,goclipse,0.7.6.v450,"com.googlecode.goclipse.editors.Editor",1406447619105
activated,editor,goclipse,0.7.6.v450,"com.googlecode.goclipse.editors.Editor",1406447619323
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406447619543
activated,editor,goclipse,0.7.6.v450,"com.googlecode.goclipse.editors.Editor",1406447623989
activated,editor,goclipse,0.7.6.v450,"com.googlecode.goclipse.editors.Editor",1406447625610
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1406447628946
activated,editor,goclipse,0.7.6.v450,"com.googlecode.goclipse.editors.Editor",1406447629832
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1406447632631
activated,editor,goclipse,0.7.6.v450,"com.googlecode.goclipse.editors.Editor",1406447634006
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1406447635939
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1406447646520
activated,editor,goclipse,0.7.6.v450,"com.googlecode.goclipse.editors.Editor",1406447650105
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1406447656851
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1406447668279
error,log,,,"Exception occurred executing command line.",1406447673167
executed,command,,,"com.googlecode.goclipse.debug.launch.ui.GoLaunchShortcut.run",1406447673167
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1406447678511
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1406447690702
activated,editor,goclipse,0.7.6.v450,"com.googlecode.goclipse.editors.Editor",1406447707099
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1406447708346
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1406447718836
activated,editor,goclipse,0.7.6.v450,"com.googlecode.goclipse.editors.Editor",1406447720357
closed,editor,goclipse,0.7.6.v450,"com.googlecode.goclipse.editors.Editor",1406447720437
error,log,,,"Exception occurred executing command line.",1406447740328
executed,command,,,"com.googlecode.goclipse.debug.launch.ui.GoLaunchShortcut.run",1406447740328
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1406447742430
activated,editor,goclipse,0.7.6.v450,"com.googlecode.goclipse.editors.Editor",1406447749864
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1406447751155
opened,view,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui.GenericHistoryView",1406447763720
activated,view,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui.GenericHistoryView",1406447764131
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1406447764132
